Country,DatePublicEventsBan,Source
Austria,3/10/20,https://mrc-ide.github.io/covid19estimates/#/details/Austria
Belgium,3/12/20,https://mrc-ide.github.io/covid19estimates/#/details/Belgium
Denmark,3/12/20,https://mrc-ide.github.io/covid19estimates/#/details/Denmark
France,3/13/20,https://mrc-ide.github.io/covid19estimates/#/details/France
Germany,3/22/20,https://mrc-ide.github.io/covid19estimates/#/details/Germany
Greece,3/19/20,https://mrc-ide.github.io/covid19estimates/#/details/Greece
Italy,3/9/20,https://mrc-ide.github.io/covid19estimates/#/details/Italy
Netherlands,3/12/20,https://mrc-ide.github.io/covid19estimates/#/details/Netherlands
Norway,3/12/20,https://mrc-ide.github.io/covid19estimates/#/details/Norway
Portugal,3/12/20,https://mrc-ide.github.io/covid19estimates/#/details/Portugal
Spain,3/14/20,https://mrc-ide.github.io/covid19estimates/#/details/Spain
Sweden,3/29/20,https://mrc-ide.github.io/covid19estimates/#/details/Sweden
Switzerland,3/13/20,https://mrc-ide.github.io/covid19estimates/#/details/Switzerland
United Kingdom,3/24/20,https://mrc-ide.github.io/covid19estimates/#/details/United_Kingdom
Czechia,3/10/20,https://www.iq-mag.net/2020/03/event-bans-enforced-in-czech-republic-greece/#.XrOvT_mxU5k
Israel,3/11/20,https://www.timesofisrael.com/israel-said-weighing-ban-on-public-events-of-over-100-people-closing-schools/
Hungary,3/16/20,https://hungarytoday.hu/coronavirus-orban-hungary-closes-borders/
Serbia,3/12/20,https://www.euractiv.com/section/all/short_news/serbia-events-of-over-100-people-in-confined-spaces-have-been-banned/
Finland,3/12/20,https://www.bloomberg.com/news/articles/2020-03-12/finland-to-ban-all-public-events-with-more-than-500-people
Ireland,3/24/20,https://www.bbc.com/news/world-europe-52372997
Slovenia,3/7/20,https://www.total-slovenia-news.com/travel/5801-coronavirus-slovenia-ban-on-large-indoor-public-events-as-12-cases-found
Romania,3/8/20,https://www.romania-insider.com/romania-unprecedented-measures-stop-coronavirus-march-2020
Turkey,3/16/20,https://www.aa.com.tr/en/turkey/turkey-restaurants-cafes-closing-due-to-covid-19/1768154
Poland,3/9/20,https://polandin.com/47045098/more-and-more-mass-events-cancelled-or-restricted-amid-coronavirus
Russia,3/10/20,https://meduza.io/en/news/2020/03/10/citing-coronavirus-fears-moscow-bans-all-mass-public-events-until-april-10
Slovakia,3/9/20,https://www.reuters.com/article/us-health-coronavirus-slovakia/slovakia-bans-public-events-quarantines-people-returning-from-coronavirus-affected-countries-idUSKBN20W2FT
Estonia,3/12/20,https://www.reuters.com/article/us-health-coronavirus-estonia/estonia-closes-schools-bans-public-events-until-may-1-idUSKBN2100RQ
Latvia,3/13/20,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Latvia
Lithuania,3/13/20,https://bnn-news.com/lithuania-bans-public-events-closes-schools-until-march-27-211372
Bulgaria,3/9/20,https://medicalxpress.com/news/2020-03-romania-slovenia-bulgaria-limit-virus.html
Cyprus,3/11/20,https://www.garda.com/crisis24/news-alerts/321591/cyprus-government-bans-public-gatherings-and-extends-checkpoint-closures-march-10-update-1
US,3/11/20,https://www.nytimes.com/2020/03/11/us/seattle-coronavirus-public-gathering-limits.html
Brazil,3/17/20,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Brazil
Croatia,3/19/20,https://seenews.com/news/croatia-bans-public-gatherings-sports-events-to-limit-coronavirus-spread-691413
